States/UTs,Crime_Head,Count,Year,Main_Category,Month,Time_of_Day,District,Latitude,Longitude,Victim_Age,Victim_Age_Group,Victim_Caste_Category,Marital_Status,Perpetrator_Relationship,Victim_Occupation,Victim_Education_Level
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,9,2009,Other Acts,April,Morning,Amritsar,20.68737935,95.46985892,37,31-50,OBC,Married,Neighbor,Working Professional,Graduate
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,23,2009,Other Acts,January,Night,Bhubaneswar,18.59081073,93.14291824,61,51+,General,Widowed,Husband,Unknown,Graduate
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,41,2009,Other Acts,May,Evening,Lucknow,22.00007555,68.4635782,20,18-30,General,Married,Acquaintance,Student,Graduate
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,90,2009,Other Acts,July,Evening,Howrah,22.08783945,68.69957289,55,51+,OBC,Married,Husband,Unemployed,Postgraduate
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,5,2009,Other Acts,April,Night,Guwahati,24.37514534,92.53535103,21,18-30,OBC,Unmarried,Husband,Housewife,Secondary
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,6,2009,Other Acts,August,Night,Aligarh,34.37033702,92.29540307,21,18-30,SC,Married,Husband,Labourer,Secondary
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,1,2009,Other Acts,May,Evening,Udaipur,35.72701394,78.91633665,22,18-30,ST,Married,Acquaintance,Unemployed,Primary
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,329,2009,Other Acts,June,Evening,Amritsar,15.85374294,85.40229009,61,51+,OBC,Married,Relative,Labourer,Secondary
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,314,2009,Other Acts,May,Afternoon,Jodhpur,28.39542043,70.07982178,18,18-30,OBC,Unmarried,Husband,Housewife,Primary
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,19,2009,Other Acts,October,Afternoon,Aligarh,10.4677234,85.90250631,35,31-50,OBC,Married,Relative,Housewife,Graduate
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,271,2009,Other Acts,December,Afternoon,Warangal,17.23491762,91.57365672,20,18-30,OBC,Widowed,Acquaintance,Student,Secondary
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,0,2009,Other Acts,October,Morning,Mumbai,9.647863563,83.95607073,44,31-50,OBC,Married,Husband,Unemployed,Graduate
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,1,2009,Other Acts,January,Evening,Mysuru,35.10552129,91.21835162,49,31-50,SC,Married,Relative,Unknown,Postgraduate
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,1,2009,Other Acts,May,Morning,Siliguri,22.17563798,91.51094281,42,31-50,General,Married,Husband,Housewife,Secondary
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,3,2009,Other Acts,November,Night,Aligarh,33.52204937,95.87563664,33,31-50,Unknown,Divorced,Husband,Housewife,Graduate
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,14,2009,Other Acts,June,Morning,Shimla,22.6265006,87.12235197,16,<18,Unknown,Unmarried,Unknown,Student,Graduate
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,59,2009,Other Acts,December,Morning,Coimbatore,31.000743,82.49506981,36,31-50,General,Married,Stranger,Housewife,Primary
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,62,2009,Other Acts,April,Night,Visakhapatnam,17.16188001,74.02568816,61,51+,OBC,Widowed,Acquaintance,Unknown,Unknown
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,1,2009,Other Acts,January,Morning,Visakhapatnam,20.15032841,95.52623254,60,51+,SC,Married,Acquaintance,Housewife,Graduate
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,716,2009,Other Acts,November,Morning,Visakhapatnam,19.81034116,91.84873289,51,51+,ST,Married,Relative,Housewife,Secondary
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0,2009,Other Acts,February,Afternoon,Madurai,10.89884491,91.38956304,60,51+,General,Widowed,Husband,Unemployed,Secondary
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,39,2009,Other Acts,August,Night,Bengaluru,11.91477477,68.14085778,20,18-30,Unknown,Married,Relative,Student,Secondary
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,6,2009,Other Acts,May,Night,Chandigarh,23.25664742,93.77976169,42,31-50,Unknown,Married,Unknown,Housewife,Unknown
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,63,2009,Other Acts,March,Night,Patna,30.24607918,79.0852287,20,18-30,Unknown,Widowed,Neighbor,Student,Graduate
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,1,2009,Other Acts,July,Night,Hyderabad,27.70907799,85.63254927,20,18-30,General,Married,Neighbor,Student,Secondary
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,4,2009,Other Acts,November,Evening,Shimla,29.06720823,89.21368428,63,51+,OBC,Married,Stranger,Housewife,Secondary
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,0,2009,Other Acts,September,Evening,Coimbatore,28.55425066,76.88313499,20,18-30,General,Widowed,Husband,Student,Secondary
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,4,2009,Other Acts,December,Night,Jaipur,30.86858391,93.40304129,27,18-30,General,Unmarried,Relative,Housewife,Secondary
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,27,2009,Other Acts,May,Evening,Udaipur,14.43839152,93.48242091,20,18-30,General,Divorced,Unknown,Student,Primary
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0,2009,Other Acts,December,Morning,Dehradun,9.828060724,92.88590882,57,51+,OBC,Married,Husband,Unemployed,Secondary
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,9,2009,Other Acts,February,Afternoon,Dehradun,21.44865861,75.10788277,20,18-30,OBC,Married,Relative,Student,Secondary
All India,IMMORAL TRAFFIC(PREVENTION)ACT,2474,2009,Other Acts,November,Afternoon,Hyderabad,21.79817844,94.51484664,25,18-30,General,Married,Husband,Housewife,Secondary
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,704,2009,Other Acts,May,Morning,Howrah,11.82886076,76.45934876,20,18-30,General,Married,Acquaintance,Student,Graduate
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,June,Afternoon,Visakhapatnam,30.97975096,92.31114965,39,31-50,OBC,Divorced,Unknown,Housewife,Unknown
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,October,Morning,Jodhpur,15.26669723,85.38368988,37,31-50,OBC,Married,Neighbor,Housewife,Graduate
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,April,Morning,Dhanbad,11.42912279,95.13453604,63,51+,General,Widowed,Husband,Labourer,Primary
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,2009,Other Acts,April,Afternoon,Indore,34.90140079,75.61922788,28,18-30,SC,Unmarried,Husband,Housewife,Primary
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,2009,Other Acts,March,Morning,Warangal,12.70616051,75.96192232,20,18-30,Unknown,Married,Husband,Student,Secondary
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,August,Afternoon,Visakhapatnam,28.99671627,87.92895577,37,31-50,OBC,Widowed,Stranger,Labourer,Secondary
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,March,Night,Thiruvananthapuram,34.45062697,94.80483591,28,18-30,General,Unmarried,Husband,Labourer,Primary
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,August,Afternoon,Cuttack,22.17791854,94.68848578,59,51+,OBC,Married,Relative,Unemployed,Primary
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2,2009,Other Acts,December,Afternoon,Chennai,24.88202226,95.55124228,20,18-30,General,Widowed,Relative,Student,Primary
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,October,Night,Hyderabad,24.46004658,86.15734965,20,18-30,General,Married,Acquaintance,Student,Primary
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,2009,Other Acts,June,Afternoon,Kalaburagi,10.06515271,94.73370887,20,18-30,OBC,Widowed,Acquaintance,Student,Graduate
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,24,2009,Other Acts,July,Morning,Mumbai,27.30813019,91.3234159,21,18-30,Unknown,Married,Husband,Housewife,Graduate
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,2009,Other Acts,December,Evening,Indore,16.58061203,70.36271204,20,18-30,General,Married,Relative,Unemployed,Secondary
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,2009,Other Acts,September,Night,Howrah,9.856807504,79.70762073,39,31-50,General,Married,Husband,Unemployed,Secondary
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,August,Afternoon,Hyderabad,31.00593924,73.17695545,20,18-30,ST,Married,Husband,Student,Unknown
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,September,Night,Thiruvananthapuram,10.41751167,83.87775159,35,31-50,ST,Married,Relative,Unknown,Secondary
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,November,Night,Dhanbad,33.6222896,91.81540279,19,18-30,SC,Married,Relative,Housewife,Secondary
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,April,Morning,Jodhpur,26.2481302,87.12001291,59,51+,SC,Married,Husband,Housewife,Secondary
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,April,Morning,Kolkata,23.19402647,95.40847079,19,18-30,ST,Unmarried,Husband,Student,Secondary
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,November,Afternoon,Kota,17.51785024,90.78016682,31,31-50,OBC,Married,Husband,Working Professional,Unknown
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,106,2009,Other Acts,October,Afternoon,Coimbatore,33.25340817,92.42931068,39,31-50,SC,Married,Relative,Working Professional,Graduate
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,February,Night,Dhanbad,33.83576118,85.2688098,24,18-30,General,Married,Relative,Housewife,Secondary
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2,2009,Other Acts,September,Night,Visakhapatnam,34.66246654,88.80213326,24,18-30,OBC,Married,Relative,Labourer,Secondary
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,August,Night,Warangal,13.22744519,79.61137284,60,51+,General,Widowed,Relative,Housewife,Secondary
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,September,Morning,Chandigarh,28.57331695,88.97750203,36,31-50,SC,Divorced,Husband,Housewife,Primary
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,December,Night,Vijayawada,36.2113886,82.60710467,39,31-50,SC,Married,Neighbor,Working Professional,Secondary
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2,2009,Other Acts,June,Afternoon,Jaipur,26.89549174,96.38078649,44,31-50,SC,Widowed,Unknown,Unemployed,Unknown
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,February,Afternoon,Jaipur,33.47039429,86.52223819,60,51+,General,Widowed,Neighbor,Housewife,Unknown
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,October,Evening,Hyderabad,36.99637183,85.55969982,27,18-30,SC,Married,Neighbor,Unknown,Secondary
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,February,Night,Aligarh,16.63831932,85.47010169,30,18-30,OBC,Married,Unknown,Labourer,Graduate
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,January,Morning,Pune,22.91656681,88.59857599,64,51+,ST,Widowed,Relative,Housewife,Unknown
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,September,Evening,Kota,18.88717174,93.09392479,30,18-30,General,Unmarried,Husband,Unemployed,Secondary
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,September,Morning,Ludhiana,26.38950212,87.44380587,58,51+,OBC,Married,Acquaintance,Working Professional,Primary
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2009,Other Acts,April,Morning,Kalaburagi,34.51926417,81.56271953,20,18-30,SC,Married,Husband,Student,Postgraduate
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,845,2009,Other Acts,October,Night,Raipur,26.50416761,79.0600881,22,18-30,ST,Unmarried,Acquaintance,Housewife,Unknown
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,25569,2009,Other Acts,September,Night,Dehradun,29.57174426,89.23669649,38,31-50,SC,Divorced,Husband,Unemployed,Secondary
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,164,2009,Other Acts,March,Night,Mysuru,16.43077994,92.3402388,20,18-30,OBC,Widowed,Husband,Student,Secondary
Assam,TOTAL CRIMES AGAINST WOMEN,9721,2009,Other Acts,March,Evening,Dehradun,34.73284247,80.66874666,24,18-30,Unknown,Married,Neighbor,Working Professional,Unknown
Bihar,TOTAL CRIMES AGAINST WOMEN,8803,2009,Other Acts,June,Morning,Cuttack,16.49263441,90.99125072,42,31-50,OBC,Married,Husband,Unemployed,Unknown
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,4002,2009,Other Acts,September,Night,Jodhpur,9.926392557,95.9096096,32,31-50,OBC,Married,Unknown,Housewife,Secondary
Goa,TOTAL CRIMES AGAINST WOMEN,164,2009,Other Acts,August,Night,Howrah,18.10382199,89.28632971,34,31-50,OBC,Married,Relative,Unknown,Illiterate
Gujarat,TOTAL CRIMES AGAINST WOMEN,8009,2009,Other Acts,February,Night,Thiruvananthapuram,8.422095493,77.58764705,34,31-50,OBC,Married,Acquaintance,Labourer,Graduate
Haryana,TOTAL CRIMES AGAINST WOMEN,5312,2009,Other Acts,November,Night,Bhopal,11.1125608,93.56167466,60,51+,General,Widowed,Neighbor,Working Professional,Primary
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,954,2009,Other Acts,April,Afternoon,Kota,35.47306343,84.68554376,63,51+,ST,Widowed,Stranger,Housewife,Primary
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,2624,2009,Other Acts,December,Morning,Indore,33.35062761,78.99235525,20,18-30,OBC,Unmarried,Husband,Student,Secondary
Jharkhand,TOTAL CRIMES AGAINST WOMEN,3021,2009,Other Acts,October,Morning,Indore,33.39449174,76.49128168,30,18-30,ST,Married,Neighbor,Housewife,Secondary
Karnataka,TOTAL CRIMES AGAINST WOMEN,7852,2009,Other Acts,August,Night,Jalandhar,23.39369345,76.28275856,18,18-30,OBC,Unmarried,Husband,Working Professional,Secondary
Kerala,TOTAL CRIMES AGAINST WOMEN,8049,2009,Other Acts,February,Evening,Howrah,12.93738862,75.5596156,43,31-50,OBC,Married,Husband,Housewife,Primary
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,15827,2009,Other Acts,September,Morning,Coimbatore,20.13825028,88.03894392,46,31-50,ST,Married,Acquaintance,Working Professional,Graduate
Maharashtra,TOTAL CRIMES AGAINST WOMEN,15048,2009,Other Acts,August,Evening,Nashik,34.83139869,88.97190497,54,51+,SC,Married,Relative,Housewife,Secondary
Manipur,TOTAL CRIMES AGAINST WOMEN,194,2009,Other Acts,January,Night,Warangal,29.08746624,75.62686589,44,31-50,SC,Divorced,Husband,Labourer,Unknown
Meghalaya,TOTAL CRIMES AGAINST WOMEN,237,2009,Other Acts,August,Night,Cuttack,26.41503761,69.51186619,15,<18,ST,Unmarried,Relative,Student,Primary
Mizoram,TOTAL CRIMES AGAINST WOMEN,150,2009,Other Acts,March,Morning,Visakhapatnam,19.63630396,72.3082385,26,18-30,General,Married,Acquaintance,Labourer,Primary
Nagaland,TOTAL CRIMES AGAINST WOMEN,46,2009,Other Acts,September,Night,Howrah,32.79612179,90.55551503,37,31-50,ST,Married,Neighbor,Housewife,Secondary
Odisha,TOTAL CRIMES AGAINST WOMEN,8120,2009,Other Acts,July,Evening,Nagpur,17.35205434,89.62942789,20,18-30,General,Widowed,Neighbor,Student,Primary
Punjab,TOTAL CRIMES AGAINST WOMEN,2631,2009,Other Acts,August,Night,Kolkata,16.10112049,73.98707846,20,18-30,OBC,Widowed,Husband,Student,Secondary
Rajasthan,TOTAL CRIMES AGAINST WOMEN,17316,2009,Other Acts,October,Night,Mumbai,36.69605273,74.31808453,38,31-50,SC,Married,Relative,Housewife,Primary
Sikkim,TOTAL CRIMES AGAINST WOMEN,41,2009,Other Acts,January,Morning,Mysuru,8.300715627,94.17145822,44,31-50,Unknown,Married,Neighbor,Unemployed,Graduate
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,6051,2009,Other Acts,September,Afternoon,Thiruvananthapuram,21.22382782,90.10565336,20,18-30,General,Married,Husband,Student,Graduate
Tripura,TOTAL CRIMES AGAINST WOMEN,1517,2009,Other Acts,August,Evening,Amritsar,15.992171,95.43837559,48,31-50,OBC,Married,Husband,Housewife,Secondary
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,23254,2009,Other Acts,November,Afternoon,Indore,28.25566754,68.50885257,64,51+,SC,Widowed,Stranger,Unknown,Secondary
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,1188,2009,Other Acts,May,Night,Hyderabad,31.67443125,79.33812435,19,18-30,OBC,Married,Unknown,Student,Unknown
West Bengal,TOTAL CRIMES AGAINST WOMEN,23307,2009,Other Acts,December,Evening,Chennai,31.01769164,96.0464014,30,18-30,OBC,Married,Husband,Housewife,Primary
A&N Islands,TOTAL CRIMES AGAINST WOMEN,92,2009,Other Acts,January,Night,Chandigarh,25.66370486,85.33766198,44,31-50,OBC,Married,Husband,Unemployed,Secondary
Chandigarh,TOTAL CRIMES AGAINST WOMEN,150,2009,Other Acts,July,Afternoon,Lucknow,35.74266766,94.19068228,20,18-30,OBC,Married,Stranger,Student,Primary
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,20,2009,Other Acts,May,Afternoon,Madurai,31.08240732,79.17782189,53,51+,OBC,Married,Stranger,Working Professional,Secondary
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,13,2009,Other Acts,January,Evening,Dehradun,36.59505962,94.41220421,33,31-50,General,Married,Unknown,Unemployed,Graduate
Delhi UT,TOTAL CRIMES AGAINST WOMEN,4251,2009,Other Acts,December,Night,Nashik,27.22510729,71.47211831,34,31-50,OBC,Married,Acquaintance,Working Professional,Secondary
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,1,2009,Other Acts,April,Afternoon,Bengaluru,9.202985922,88.44666355,34,31-50,General,Married,Husband,Housewife,Primary
Puducherry,TOTAL CRIMES AGAINST WOMEN,106,2009,Other Acts,October,Evening,Aligarh,32.8459169,77.30774561,40,31-50,OBC,Married,Relative,Labourer,Secondary
TOTAL Crime against Women,TOTAL CRIMES AGAINST WOMEN,203804,2009,Other Acts,February,Night,Dhanbad,35.4361992,75.67896625,20,18-30,General,Widowed,Acquaintance,Student,Secondary
Andhra Pradesh,RAPE,1362,2010,Rape-related,January,Night,Chennai,20.41308499,86.40540172,26,18-30,ST,Married,Husband,Housewife,Primary
Arunachal Pradesh,RAPE,47,2010,Rape-related,July,Evening,Chennai,33.89923787,83.52353989,63,51+,SC,Widowed,Husband,Labourer,Secondary
Assam,RAPE,1721,2010,Rape-related,June,Night,Madurai,21.44290718,90.53170835,15,<18,General,Unmarried,Relative,Student,Secondary
Bihar,RAPE,795,2010,Rape-related,December,Afternoon,Chennai,20.50885804,82.15886426,32,31-50,SC,Divorced,Relative,Housewife,Secondary
Chhattisgarh,RAPE,1012,2010,Rape-related,February,Afternoon,Chandigarh,34.50601253,94.52891863,54,51+,Unknown,Widowed,Relative,Housewife,Secondary
Goa,RAPE,36,2010,Rape-related,September,Evening,Udaipur,14.74888206,90.90535445,20,18-30,OBC,Married,Husband,Student,Primary
Gujarat,RAPE,408,2010,Rape-related,January,Morning,Nashik,25.32283048,77.66828369,48,31-50,General,Married,Acquaintance,Unemployed,Secondary
Haryana,RAPE,720,2010,Rape-related,February,Night,Agra,30.45856543,73.5709971,24,18-30,General,Married,Relative,Student,Postgraduate
Himachal Pradesh,RAPE,160,2010,Rape-related,August,Afternoon,Mysuru,17.20740151,89.64633453,20,18-30,OBC,Divorced,Unknown,Student,Secondary
Jammu & Kashmir,RAPE,245,2010,Rape-related,January,Afternoon,Madurai,16.68125562,71.07390555,44,31-50,OBC,Married,Relative,Unemployed,Secondary
Jharkhand,RAPE,773,2010,Rape-related,May,Afternoon,Aligarh,11.31212982,91.49759339,20,18-30,OBC,Married,Husband,Student,Graduate
Karnataka,RAPE,586,2010,Rape-related,July,Afternoon,Thiruvananthapuram,26.90515393,79.98076094,55,51+,SC,Widowed,Stranger,Working Professional,Primary
Kerala,RAPE,634,2010,Rape-related,March,Night,Ranchi,34.58593945,90.44195448,61,51+,General,Widowed,Stranger,Unemployed,Secondary
Madhya Pradesh,RAPE,3135,2010,Rape-related,March,Morning,Chandigarh,24.38881674,96.1002317,53,51+,OBC,Married,Neighbor,Housewife,Primary
Maharashtra,RAPE,1599,2010,Rape-related,November,Night,Siliguri,24.46446897,88.07351514,38,31-50,Unknown,Divorced,Husband,Housewife,Graduate
Manipur,RAPE,34,2010,Rape-related,December,Night,Dehradun,10.59191498,94.88381984,20,18-30,OBC,Married,Relative,Student,Secondary
Meghalaya,RAPE,149,2010,Rape-related,November,Evening,Dehradun,29.29965418,93.90950403,59,51+,SC,Married,Husband,Labourer,Primary
Mizoram,RAPE,92,2010,Rape-related,July,Afternoon,Amritsar,30.74278765,72.0326106,44,31-50,General,Divorced,Acquaintance,Working Professional,Secondary
Nagaland,RAPE,16,2010,Rape-related,June,Afternoon,Kota,23.45767126,74.91779371,50,31-50,OBC,Married,Relative,Labourer,Secondary
Odisha,RAPE,1025,2010,Rape-related,July,Morning,Siliguri,11.06103059,68.99578166,42,31-50,ST,Widowed,Neighbor,Unknown,Postgraduate
Punjab,RAPE,546,2010,Rape-related,August,Morning,Jodhpur,30.17577429,81.10506894,43,31-50,OBC,Married,Husband,Housewife,Primary
Rajasthan,RAPE,1571,2010,Rape-related,July,Evening,Bhubaneswar,8.75043719,94.74022505,15,<18,Unknown,Unmarried,Husband,Working Professional,Secondary
Sikkim,RAPE,18,2010,Rape-related,July,Evening,Ludhiana,24.21370964,89.85127046,37,31-50,General,Married,Relative,Labourer,Primary
Tamil Nadu,RAPE,686,2010,Rape-related,February,Evening,Howrah,20.85803037,89.20396483,51,51+,Unknown,Married,Relative,Unknown,Postgraduate
Tripura,RAPE,238,2010,Rape-related,November,Afternoon,Amritsar,21.56277149,68.76990186,23,18-30,SC,Unmarried,Husband,Housewife,Secondary
Uttar Pradesh,RAPE,1563,2010,Rape-related,November,Afternoon,Kolkata,11.93711526,96.53961746,39,31-50,SC,Married,Relative,Housewife,Secondary
Uttarakhand,RAPE,121,2010,Rape-related,September,Morning,Coimbatore,9.862144083,82.5413224,20,18-30,SC,Married,Acquaintance,Student,Primary
West Bengal,RAPE,2311,2010,Rape-related,March,Morning,Vijayawada,23.96910056,86.79898398,27,18-30,OBC,Unmarried,Relative,Housewife,Primary
A&N Islands,RAPE,24,2010,Rape-related,November,Evening,Coimbatore,35.91421257,96.10180373,20,18-30,ST,Widowed,Unknown,Student,Secondary
Chandigarh,RAPE,31,2010,Rape-related,June,Night,Guwahati,12.05477462,89.5360226,55,51+,ST,Married,Relative,Unknown,Primary
D&N Haveli,RAPE,3,2010,Rape-related,February,Morning,Vijayawada,22.04522263,93.86244652,33,31-50,OBC,Married,Relative,Housewife,Graduate
Daman & Diu,RAPE,1,2010,Rape-related,March,Afternoon,Vijayawada,20.64960067,73.87330227,52,51+,OBC,Widowed,Husband,Unemployed,Postgraduate
Delhi UT,RAPE,507,2010,Rape-related,September,Morning,Madurai,8.950864601,72.09587915,62,51+,OBC,Widowed,Neighbor,Working Professional,Secondary
Lakshadweep,RAPE,0,2010,Rape-related,July,Afternoon,Hyderabad,34.96448904,79.77641871,20,18-30,OBC,Widowed,Husband,Student,Primary
Puducherry,RAPE,3,2010,Rape-related,September,Night,Cuttack,28.85800821,84.89732393,40,31-50,OBC,Married,Husband,Working Professional,Primary
All India,RAPE,22172,2010,Rape-related,March,Evening,Visakhapatnam,21.94151341,78.57159216,57,51+,ST,Married,Relative,Housewife,Graduate
Andhra Pradesh,KIDNAPPING & ABDUCTION,1531,2010,Kidnapping & Abduction,December,Evening,Bhopal,15.81206416,91.18335306,42,31-50,OBC,Married,Husband,Working Professional,Secondary
Arunachal Pradesh,KIDNAPPING & ABDUCTION,46,2010,Kidnapping & Abduction,April,Evening,Nagpur,18.97150122,90.61753118,30,18-30,General,Married,Acquaintance,Housewife,Primary
Assam,KIDNAPPING & ABDUCTION,2767,2010,Kidnapping & Abduction,January,Morning,Hyderabad,15.0238835,92.11639373,57,51+,OBC,Widowed,Relative,Housewife,Graduate
Bihar,KIDNAPPING & ABDUCTION,2569,2010,Kidnapping & Abduction,January,Evening,Madurai,15.13977455,69.50927212,54,51+,Unknown,Widowed,Acquaintance,Labourer,Postgraduate
Chhattisgarh,KIDNAPPING & ABDUCTION,279,2010,Kidnapping & Abduction,May,Afternoon,Cuttack,13.59747964,69.95958647,20,18-30,OBC,Married,Husband,Student,Secondary
Goa,KIDNAPPING & ABDUCTION,18,2010,Kidnapping & Abduction,August,Morning,Ludhiana,9.039330979,87.56406884,20,18-30,OBC,Unmarried,Husband,Unknown,Secondary
Gujarat,KIDNAPPING & ABDUCTION,1290,2010,Kidnapping & Abduction,November,Morning,Nagpur,14.77907246,74.39991856,24,18-30,SC,Unmarried,Husband,Student,Secondary
Haryana,KIDNAPPING & ABDUCTION,714,2010,Kidnapping & Abduction,December,Night,Mumbai,17.50286706,72.63260955,59,51+,General,Widowed,Unknown,Housewife,Secondary
Himachal Pradesh,KIDNAPPING & ABDUCTION,162,2010,Kidnapping & Abduction,September,Night,Raipur,18.7572756,96.51600603,15,<18,SC,Unmarried,Stranger,Housewife,Primary
Jammu & Kashmir,KIDNAPPING & ABDUCTION,840,2010,Kidnapping & Abduction,July,Morning,Ranchi,10.67651833,70.88271873,20,18-30,Unknown,Widowed,Husband,Student,Secondary
Jharkhand,KIDNAPPING & ABDUCTION,696,2010,Kidnapping & Abduction,September,Morning,Cuttack,32.4187916,79.01355101,54,51+,SC,Widowed,Relative,Unknown,Secondary
Karnataka,KIDNAPPING & ABDUCTION,586,2010,Kidnapping & Abduction,July,Morning,Hyderabad,26.88121372,75.15062281,18,18-30,OBC,Married,Stranger,Student,Postgraduate
